#separator:tab
#notetype:Basic
#deck:CS::CSAPP::Integer Arithmetic
#tags column:3
Формула unsigned-сложения. Что такое x +ᵘ y?	x +ᵘ y = (x + y) mod 2^w. Если x + y < 2^w — обычная сумма. Если x + y >= 2^w — переполнение, результат = x + y - 2^w.	csapp::integer-arithmetic::unsigned-addition
Как заменить x * 14 сдвигами? Две формы.	Форма A (сумма): 14 = 8 + 4 + 2 → (x << 3) + (x << 2) + (x << 1). Форма B (разность): 14 = 16 - 2 → (x << 4) - (x << 1). Форма B короче: 2 сдвига + 1 вычитание.	csapp::integer-arithmetic::shift-multiply
x << k = ? Почему компилятор заменяет умножение сдвигами?	x << k = x * 2^k. MUL занимает 3-10+ тактов, сдвиг — 1 такт. Компилятор разлагает константу в сумму/разность степеней двойки и заменяет одну дорогую инструкцию несколькими дешёвыми.	csapp::integer-arithmetic::shift-optimization
Что не так с signed делением через арифметический сдвиг вправо?	x >> k = floor(x / 2^k) — округление к -infinity, а не к нулю. Пример: -7 >> 1 = -4, а trunc(-7/2) = -3. Разница только для отрицательных, не делящихся нацело.	csapp::integer-arithmetic::division-rounding
Как исправить signed деление сдвигом для округления к нулю?	Добавить bias = (1 << k) - 1 перед сдвигом: (x + bias) >> k. Пример: x = -7, k = 1. bias = 1. (-7 + 1) >> 1 = -6 >> 1 = -3.	csapp::integer-arithmetic::division-bias
Уязвимость XDR (CVE-2003-0028): в чём суть?	malloc(ele_cnt * ele_size): при 32-bit умножении переполнение. Например, (2^20 + 1) * 4096 mod 2^32 = 4096. Выделяется 4KB, но цикл пишет ~4GB → heap overflow.	csapp::integer-arithmetic::security
Три wrapping-оператора в Zig для модульной арифметики.	+% (wrapping add), -% (wrapping sub/negate), *% (wrapping mul). Обычные +, -, * паникуют при переполнении в debug. Также есть @addWithOverflow, @subWithOverflow, @mulWithOverflow для обнаружения.	csapp::integer-arithmetic::zig-operators
Три вида деления в Zig: @divTrunc, @divFloor, @divExact.	@divTrunc — округление к нулю (как C). @divFloor — округление к -infinity (как арифметический сдвиг). @divExact — паника, если не делится нацело. Пример: -7/2: divTrunc = -3, divFloor = -4.	csapp::integer-arithmetic::zig-division
Главная идея раздела 2.3: одна инструкция — два смысла.	На уровне битов сложение, вычитание и умножение для signed и unsigned — одна и та же операция. Процессор выполняет одну инструкцию ADD/MUL. Разница только в интерпретации результата и обнаружении переполнения.	csapp::integer-arithmetic::key-insight
Почему отбрасывание старшего бита суммы двух unsigned чисел = mod 2^w?	Сумма s = x+y занимает максимум w+1 бит: s = s_w·2^w + [младшие w бит]. Если s_w=0 — отбрасывание не меняет значения. Если s_w=1 — отбрасывание = вычитание 2^w. В обоих случаях результат = (x+y) mod 2^w.	csapp::integer-arithmetic::formal-proof
Что такое абелева группа в контексте unsigned-арифметики?	Множество {0,...,2^w−1} с операцией +ᵘ образует абелеву группу: замкнутость, коммутативность (x+ᵘy = y+ᵘx), ассоциативность, нейтральный элемент (0), обратный элемент (-ᵘx). Гарантирует корректность и замкнутость модульной арифметики.	csapp::integer-arithmetic::abelian-group
Доказательство: почему (x'·y') mod 2^w = (x·y) mod 2^w для signed/unsigned?	x'=x+x_{w-1}·2^w, y'=y+y_{w-1}·2^w. Раскрываем: x'·y' = x·y + (...)·2^w + (...)·2^{2w}. Члены с 2^w и 2^{2w} обнуляются при mod 2^w. Остаётся (x·y) mod 2^w.	csapp::integer-arithmetic::multiplication-proof
Что такое LEA и как используется для умножения на малые константы?	LEA (Load Effective Address) выполняет (a<<k)+b за 1 такт, k=0,1,2,3. Умножение: x*3=(x<<1)+x, x*5=(x<<2)+x, x*9=(x<<3)+x — каждое через одну LEA.	csapp::integer-arithmetic::lea-instruction
Общая формула для серии единиц от позиции n до m. Формы A и B.	Форма A: (x<<n)+(x<<(n-1))+...+(x<<m). Форма B: (x<<(n+1))-(x<<m). Форма B обычно короче. Пример: 14=1110₂ (n=3,m=1): A=3 сдвига+2 сложения, B=(x<<4)-(x<<1)=2 сдвига+1 вычитание.	csapp::integer-arithmetic::series-formula
Полная C-формула деления signed числа на 2^k с округлением к нулю.	(x<0 ? x+(1<<k)-1 : x) >> k. Для x≥0 — просто сдвиг. Для x<0 — добавляем bias=2^k−1 перед сдвигом для компенсации округления к −∞.	csapp::integer-arithmetic::division-formula
