Что такое тип в контексте системы типов?	Множество допустимых значений + набор допустимых операций над ними.
Что делает as const?	Сужает до литерального типа + readonly. Для объектов — все поля readonly + литеральные типы значений. Для массивов — readonly tuple.
Чем enum отличается от union of literals?	Enum — рантайм-объект (остаётся в JS). Union of literals — стирается при компиляции (zero runtime cost). Union проще для tree-shaking.
Что такое Template Literal Types?	Типы, построенные из шаблонов строк: type Handler = `on${Capitalize<EventName>}` → "onClick" | "onScroll".
Что такое assignability?	Проверка, можно ли значение типа A использовать где ожидается тип B. Работает если множество значений A ⊂ множество значений B.
Как работает excess property check?	Дополнительная проверка ТОЛЬКО для object literals — запрещает лишние поля (ловит опечатки). Через промежуточную переменную — не работает, т.к. TypeScript проверяет структурную совместимость.
Почему excess property check важен для опциональных полей?	Он ловит опечатки: { host: "...", prot: 8080 } при типе { host: string; port?: number } — без check опечатка "prot" молча проигнорировалась бы, port остался бы undefined.
Как количество полей влияет на ширину объектного типа?	Меньше полей → менее специфичное ограничение → шире тип. Больше полей → уже тип. { name, age } ⊂ { name } — тип с дополнительными полями является подтипом.
Что такое ковариантность?	Сохранение направления наследования. Тип возвращаемого значения функции ковариантен — должен быть таким же или у́же, чем ожидаемый.
Что такое контравариантность?	Инверсия направления наследования. Типы параметров функции контравариантны — должны быть такими же или шире, чем ожидаемые.
Мнемоника для вариантности функций?	Параметры — контравариантны (принимают шире или равно). Возврат — ковариантен (возвращает уже или равно).
Что делает strictFunctionTypes?	Включает контравариантную проверку параметров функций. Без него — бивариантная проверка (и шире, и уже разрешено), что небезопасно.
Почему методы объектов бивариантны даже со strictFunctionTypes?	Это исключение в TS. Для строгости используйте property syntax: method: () => void вместо method(): void.
Почему ковариантность массивов небезопасна?	Dog[] присваивается Animal[], но через Animal[] можно добавить Cat — dogs массив теперь содержит Cat. readonly массивы безопасно ковариантны, т.к. не допускают мутации.
Что такое type refinement?	Процесс, когда TypeScript анализирует control flow и сужает тип, отсекая невозможные варианты union в текущей ветке.
Какие способы сужения типов безопасны?	typeof, instanceof, дискриминатор (литеральное поле), литеральное сравнение, custom type guard (если логика верна).
Почему оператор in небезопасен для сужения типов?	Структурная типизация допускает лишние поля. ExternalUser может иметь поле department, и in сузит тип неверно → рантайм ошибка.
Что такое discriminated union?	Union с литеральным полем-дискриминатором, уникальным для каждого варианта: type Event = { type: 'login'; ... } | { type: 'logout'; ... }. Позволяет безопасно сужать тип.
Как intersection & работает для объектных типов?	Объединяет поля: { a: string } & { b: number } → { a: string; b: number }. Сужает множество значений (нужно удовлетворять обоим типам).
Что происходит при intersection примитивов?	string & number → never. Нет значения, одновременно являющегося строкой и числом → пустое множество.
Что происходит при конфликте одноимённых свойств в intersection?	Если свойства несовместимы: { x: number } & { x: string } → x имеет тип number & string → never, что делает тип непригодным.
Почему интуиция union/intersection инвертирована для объектов?	A | B → больше значений подходит, но доступны только ОБЩИЕ поля. A & B → меньше значений подходит, но доступны ВСЕ поля обоих типов.
Чем tuple отличается от массива?	Tuple — фиксированная длина + типизированные позиции: [number, string]. Массив — произвольная длина + один тип элементов: number[].
Почему push/pop работают на tuple?	Обратная совместимость. Используйте readonly tuple для защиты: readonly [number, number] — push вызовет ошибку.
Как as const влияет на массивы?	Превращает в readonly tuple с литеральными типами: [1, 2] as const → readonly [1, 2].
Что такое readonly array?	readonly number[] (или ReadonlyArray<number>) — запрещает мутирующие операции (push, sort, индексная запись). readonly НЕ рекурсивен — вложенные объекты мутабельны.
Как работает совместимость readonly и обычных массивов?	number[] → readonly number[] (OK — мутабельный в иммутабельный безопасно). Обратно — ошибка.
Чем отличаются {}, Object и object в TypeScript?	{} — всё кроме null/undefined. Object — как {}, но предопределяет toString и др. object (маленькая буква) — только непримитивы.
Почему {} не означает "пустой объект"?	{} принимает числа, строки, boolean и т.д. — всё кроме null/undefined. Это самое широкое ограничение для объектного типа.
В чём ключевая особенность interface по сравнению с type?	Declaration merging — повторное объявление interface расширяет его. type не поддерживает слияние. Полезно для augmentation библиотечных типов.
Почему implements не наследует типы параметров?	TypeScript только ПРОВЕРЯЕТ соответствие класса интерфейсу, но не переносит типы. Параметры методов нужно типизировать вручную.
Когда использовать interface, а когда type?	interface — для объектных контрактов и public API (declaration merging). type — для unions, intersections, mapped/conditional types.
Что происходит с private полями при компиляции?	TS private стирается — в JS поле доступно. ES2022 #field даёт настоящую рантайм-приватность, недоступен даже через as any.
Что такое Parameter Properties?	Модификатор доступа в параметре конструктора автоматически создаёт и инициализирует свойство: constructor(public name: string) {} эквивалентно объявлению поля + присваиванию.
Чем assert-функция отличается от type guard?	Type guard возвращает boolean, используется в if. Assert бросает ошибку при неудаче, сужает тип ПОСЛЕ вызова (statement-level). assert = "может ли код продолжаться?", guard = "верно ли?"
Чем asserts отличается от as?	as — compile-time подсказка без рантайм-проверки. asserts — реальная проверка в рантайме + сужение типа для компилятора.
Что такое mapping modifiers?	В mapped types: +/- добавляют/удаляют readonly и ?. Пример: { [P in keyof T]-?: T[P] } — Required (удаляет ?).
Что такое key remapping в mapped types?	TS 4.1+: as в mapped type для переименования/фильтрации ключей. Пример: [K in keyof T as `get${Capitalize<K>}`] — добавляет префикс get.
Что такое гомоморфный mapped type?	Mapped type, итерирующий по keyof T — сохраняет модификаторы оригинала (readonly, ?). Чтобы сбросить — используйте -readonly, -?.
Почему тип Function плох для типизации колбеков?	Отключает проверку: количество и типы аргументов не проверяются, результат — any. Используйте явные сигнатуры или (...args: any[]) => any.
Что такое infer в conditional types?	Ключевое слово для захвата части типа в переменную: T extends Promise<infer U> ? U : T — извлекает тип из Promise. Работает только внутри conditional types.
Почему spread массива в функцию с фиксированными параметрами вызывает ошибку?	[1, 2] выводится как number[] (ноль или более чисел), а не [number, number]. TS не может гарантировать количество элементов. Решение: as const или явная аннотация кортежа.
Что такое upcasting и downcasting?	Upcasting (восходящее): подтип → супертип — безопасно, автоматически. Downcasting (нисходящее) через as: супертип → подтип — небезопасно, компилятор доверяет программисту.
Является ли TypeScript sound языком?	Нет. TS допускает unsound операции: any обходит проверки, массивы ковариантны (должны быть инвариантны для мутабельных), методы бивариантны. Это осознанный trade-off ради практичности.
